YR,MO,DA,SNODEP_mm,SWE_mm,PRCP_TOT_mm,PRCP_DAY_mm,TOBS_degC,TMAX_degC,TMIN_degC,TAVG_degC
2010,1,7,939.8,220.98,304.8,0,-5.8,3,-7.4,-0.8
2010,1,8,939.8,220.98,304.8,0,-7.9,-3.3,-8.2,-5.8
2010,1,9,914.4,220.98,304.8,0,-1.4,1.1,-8.1,-2.1
2010,1,10,889,223.52,307.34,2.54,0.4,4.6,-1.8,0.7
2010,1,11,889,223.52,307.34,0,2.4,2.6,-2,1.1
2010,1,12,863.6,223.52,307.34,0,4.4,6,1.1,4
2010,1,13,914.4,231.14,312.42,5.08,1.5,5.3,0.7,3.3
2010,1,14,990.6,243.84,325.12,12.7,-0.7,2.9,-0.7,1
2010,1,15,990.6,243.84,325.12,0,-3.6,2,-4.9,-2.2
2010,1,16,965.2,246.38,327.66,2.54,3,3.4,-4.1,0.9
2010,1,17,965.2,248.92,330.2,2.54,1.2,4,-1,1.6
2010,1,18,965.2,248.92,330.2,0,-0.6,3.8,-1.2,1.4
2010,1,19,1193.8,284.48,345.44,15.24,-0.2,1.7,-0.6,0.5
2010,1,20,1193.8,289.56,347.98,2.54,-1.5,0.2,-2.7,-0.8
2010,1,21,1244.6,304.8,353.06,5.08,-2.1,-0.4,-2.7,-1.6
2010,1,22,1244.6,309.88,358.14,5.08,-2.4,0.2,-2.9,-1.3
2010,1,23,1320.8,322.58,368.3,10.16,-3,-1,-3.1,-2.3
2010,1,24,1371.6,330.2,373.38,5.08,-3.6,-3,-4.1,-3.6
2010,1,25,1346.2,332.74,375.92,2.54,-3.3,0.1,-9.9,-4.6
2010,1,26,1320.8,337.82,378.46,2.54,-0.6,0.8,-3.5,-1.1
2010,1,27,1447.8,358.14,396.24,17.78,-1.1,0.4,-1.3,-0.7
2010,1,28,1422.4,358.14,396.24,0,-2.7,1.4,-5.2,-2
2010,1,29,1371.6,358.14,396.24,0,-2.8,1.1,-6.2,-2.6
2010,1,30,1346.2,358.14,396.24,0,-0.4,2.3,-4.3,-1
2010,1,31,1371.6,360.68,398.78,2.54,-4.2,1.5,-4.2,-1.6
2010,2,1,1447.8,370.84,408.94,10.16,-1.9,-1.9,-5.4,-3.1
2010,2,2,1422.4,370.84,408.94,0,-1.6,-0.3,-6.9,-2.5
2010,2,3,1397,373.38,411.48,2.54,-0.8,1,-3.3,-1.4
2010,2,4,1422.4,373.38,411.48,0,-2.4,1.6,-2.5,-0.8
2010,2,5,1397,375.92,414.02,2.54,-0.8,2.1,-4.2,-1
2010,2,6,1447.8,391.16,429.26,15.24,-1.1,2.3,-1.2,0.4
2010,2,7,1397,391.16,429.26,0,-3.6,4.3,-4.6,-0.4
2010,2,8,1397,391.16,429.26,0,-4.7,2.4,-6.7,-2.4
2010,2,9,1397,391.16,429.26,0,-3.3,1.4,-7.7,-4
2010,2,10,1371.6,391.16,429.26,0,-5,-1.1,-7,-3.5
2010,2,11,1346.2,391.16,429.26,0,-2.5,1.1,-5.2,-3.1
2010,2,12,1397,398.78,436.88,7.62,0.5,2,-2.7,-0.5
2010,2,13,1574.8,416.56,444.5,7.62,-0.1,3.9,-0.6,0.7
2010,2,14,1549.4,419.1,447.04,2.54,-0.7,1.9,-3,-0.1
2010,2,15,1524,421.64,449.58,2.54,0.6,6.3,-1.2,1.6
2010,2,16,1498.6,421.64,449.58,0,-1.4,4.1,-2,0.3
2010,2,17,1498.6,421.64,449.58,0,-1.6,3.2,-4.1,-0.6
2010,2,18,1473.2,421.64,449.58,0,-3,2.2,-3.9,-1.1
2010,2,19,1447.8,421.64,449.58,0,-3.7,2.7,-6.4,-2.2
2010,2,20,1447.8,424.18,449.58,0,-5.5,-0.9,-6.8,-4.2
2010,2,21,1498.6,426.72,452.12,2.54,-8.4,-2.3,-9.7,-6.4
2010,2,22,1498.6,426.72,452.12,0,-7,-1.6,-11.2,-7.6
2010,2,23,1498.6,429.26,452.12,0,-7.3,-0.5,-10.2,-5.3
2010,2,24,1447.8,434.34,454.66,2.54,-2.3,3.5,-8.1,-1.9
2010,2,25,1600.2,454.66,474.98,20.32,-2.6,-0.3,-2.6,-1.1
2010,2,26,1600.2,454.66,474.98,0,-2.3,1.1,-4.2,-1.6
2010,2,27,1574.8,454.66,474.98,0,1.9,2.8,-2.9,0.6
2010,2,28,1625.6,467.36,482.6,7.62,-0.5,2,-1.4,0.2
2010,3,1,1574.8,467.36,482.6,0,-2.2,7.2,-2.3,1.2
2010,3,2,1549.4,467.36,482.6,0,2.3,7.2,-3.2,2.1
2010,3,3,1524,469.9,485.14,2.54,2.5,6.5,1.8,3.4
2010,3,4,1524,472.44,487.68,2.54,1.4,6.6,-0.4,2
2010,3,5,1549.4,480.06,492.76,5.08,0.3,4.3,-2.1,1.1
2010,3,6,1524,480.06,492.76,0,0.2,5.8,-2.7,0.9
2010,3,7,1524,480.06,492.76,0,-0.2,6.2,-1.8,1.6
2010,3,8,1498.6,480.06,492.76,0,-0.1,8.3,-2.4,1.5
2010,3,9,1549.4,482.6,495.3,2.54,-2.4,4.9,-2.7,0
2010,3,10,1524,482.6,495.3,0,-6.3,-2.4,-9.1,-5.4
2010,3,11,1524,482.6,495.3,0,-8.9,-0.6,-10,-5.5
2010,3,12,1498.6,485.14,497.84,2.54,0.2,3.4,-10,-2.5
2010,3,13,1498.6,492.76,505.46,7.62,-2.2,4,-2.2,1.7
2010,3,14,1727.2,518.16,523.24,17.78,-5.5,-2.2,-5.5,-3.3
2010,3,15,1701.8,518.16,523.24,0,-3.9,4.4,-7.4,-1.9
2010,3,16,1651,518.16,523.24,0,5,9,-4.2,3.4
2010,3,17,1600.2,518.16,523.24,0,6.9,10.2,3.8,6.6
2010,3,18,1549.4,518.16,523.24,0,0.5,10.1,-0.3,5
2010,3,19,1524,518.16,523.24,0,-1.3,5.4,-1.4,1.2
2010,3,20,1524,518.16,523.24,0,-2.7,4.9,-3.7,-0.2
2010,3,21,1473.2,518.16,523.24,0,4.4,8,-2.7,2.5
2010,3,22,1524,520.7,525.78,2.54,-0.6,8.2,-0.6,3.8
2010,3,23,1473.2,523.24,528.32,2.54,-1.9,2.1,-2.2,-0.6
2010,3,24,1498.6,523.24,528.32,0,-0.4,5.1,-5.3,-0.4
2010,3,25,1473.2,523.24,528.32,0,3.9,6.1,-1.8,2.7
2010,3,26,1600.2,535.94,535.94,7.62,-1.7,4.5,-1.7,0.9
2010,3,27,1752.6,548.64,541.02,5.08,-1.7,-1.1,-4,-2.6
2010,3,28,1701.8,551.18,543.56,2.54,2,8,-5.7,0.9
2010,3,29,1676.4,551.18,543.56,0,6,8.7,1.6,4.7
2010,3,30,1676.4,558.8,551.18,7.62,-0.2,6.7,-0.3,4.3
2010,3,31,1930.4,586.74,558.8,7.62,-3.9,-0.1,-6.6,-2.4
2010,4,1,1854.2,589.28,561.34,2.54,-4,5.5,-8.4,-2.6
2010,4,2,1879.6,591.82,563.88,2.54,-7.8,-2.4,-7.8,-4.1
2010,4,3,2057.4,617.22,579.12,15.24,-3.7,-1,-9.5,-3.7
2010,4,4,2006.6,624.84,584.2,5.08,-7,-1.4,-7.7,-5.1
2010,4,5,1981.2,629.92,589.28,5.08,-0.8,1.2,-9.5,-2.8
2010,4,6,2032,632.46,591.82,2.54,-2.7,-0.7,-4.7,-2.2
2010,4,7,1981.2,632.46,591.82,0,-3.6,1.2,-5.1,-2.2
2010,4,8,1930.4,640.08,594.36,2.54,1.6,7.4,-6.8,0.3
2010,4,9,1955.8,640.08,594.36,0,-6.8,4.3,-6.8,-0.5
2010,4,10,1930.4,642.62,596.9,2.54,-3.5,4.7,-9.2,-3.2
2010,4,11,1905,642.62,596.9,0,5.4,5.6,-3.9,2
2010,4,12,1854.2,647.7,601.98,5.08,7.7,9,4.7,7.1
2010,4,13,1930.4,652.78,604.52,2.54,-1.9,7.7,-3.8,0.7
2010,4,14,1981.2,657.86,609.6,5.08,-1.3,3.4,-2.6,0
2010,4,15,1879.6,657.86,609.6,0,6.1,9.3,-2.1,4.2
2010,4,16,1828.8,652.78,609.6,0,9.7,12.5,4,8.8
2010,4,17,1752.6,632.46,609.6,0,4.3,14.8,4.3,10
2010,4,18,1701.8,614.68,609.6,0,6.6,14.7,2,7.4
2010,4,19,1625.6,599.44,609.6,0,6,14.7,3.6,8.8
2010,4,20,1574.8,579.12,609.6,0,9.8,19.2,3.6,11.7
2010,4,21,1473.2,563.88,635,25.4,4.7,16.8,4.5,10
2010,4,22,1422.4,520.7,635,0,5.7,11.1,3.1,6
2010,4,23,1397,505.46,635,0,3.4,8.7,2.8,6
2010,4,24,1371.6,492.76,637.54,2.54,2,7.2,0.5,3.9
2010,4,25,1295.4,474.98,637.54,0,0.4,6.7,0.4,3.6
2010,4,26,1295.4,462.28,637.54,0,1.8,5.4,-2.4,1.9
2010,4,27,1193.8,439.42,640.08,2.54,10.4,13.4,1,7.7
2010,4,28,1193.8,426.72,645.16,5.08,-1.6,10.4,-1.6,4.5
2010,4,29,1422.4,462.28,660.4,15.24,-2.7,-0.4,-3.8,-2.3
2010,4,30,1422.4,469.9,662.94,2.54,-1.6,-0.5,-3.7,-2.1
2010,5,1,1397,472.44,665.48,2.54,-1.8,2.3,-1.8,-0.4
2010,5,2,1422.4,477.52,670.56,5.08,-0.9,2.8,-4.7,-0.9
2010,5,3,1346.2,477.52,670.56,0,3.1,5.2,-1.8,1.8
2010,5,4,1320.8,477.52,670.56,0,-3.7,9,-3.7,3.4
2010,5,5,1295.4,477.52,670.56,0,-0.4,1.4,-6.3,-2.3
2010,5,6,1397,485.14,678.18,7.62,-3.8,1.7,-3.8,-1.5
2010,5,7,1371.6,490.22,683.26,5.08,-3.2,4.3,-4.2,-1.5
2010,5,8,1320.8,492.76,685.8,2.54,4.2,8.7,-4.4,2.9
2010,5,9,1295.4,485.14,685.8,0,0,8.9,0,4.9
2010,5,10,1244.6,477.52,685.8,0,1.7,10.5,0,4.8
2010,5,11,1219.2,474.98,690.88,5.08,1.5,5,-0.5,2.2
2010,5,12,1193.8,462.28,693.42,2.54,4.3,11,1.1,5.3
2010,5,13,1143,447.04,693.42,0,2.8,10.9,2,6.1
2010,5,14,1117.6,429.26,693.42,0,5.7,11.1,1.2,6.1
2010,5,15,1041.4,403.86,693.42,0,6.9,14.9,3.4,8.7
2010,5,16,990.6,375.92,695.96,2.54,9.6,17.4,4.5,10.4
2010,5,17,889,347.98,695.96,0,13.1,18.3,9,13.1
2010,5,18,787.4,304.8,695.96,0,6.5,16.7,5.8,11.9
2010,5,19,736.6,284.48,711.2,15.24,5.1,6.6,3.3,4.9
2010,5,20,685.8,261.62,716.28,5.08,3.4,12.7,2.7,7.8
2010,5,21,660.4,254,716.28,0,0.2,6.7,-0.5,2.3
2010,5,22,609.6,236.22,718.82,2.54,-0.8,6.6,-0.9,2.5
2010,5,23,1016,276.86,751.84,33.02,-0.2,1.4,-1.5,-0.5
2010,5,24,838.2,276.86,751.84,0,0.6,7.6,-0.7,2.5
2010,5,25,787.4,274.32,751.84,0,-0.3,5.4,-2.6,1.7
2010,5,26,685.8,266.7,754.38,2.54,9,12.3,-1.1,6.8
2010,5,27,660.4,251.46,756.92,2.54,5,11.1,2.1,6.2
2010,5,28,609.6,231.14,764.54,7.62,3.3,7.9,1.8,4.3
2010,5,29,584.2,226.06,772.16,7.62,2.4,5.5,2.2,3.8
2010,5,30,558.8,208.28,772.16,0,2.7,6.5,0.8,2.8
2010,5,31,508,187.96,774.7,2.54,6.9,10.7,0.7,6.5
2010,6,1,431.8,165.1,779.78,5.08,5.8,10,5.7,7.7
2010,6,2,355.6,137.16,779.78,0,5.5,11.2,5.1,7.8
2010,6,3,279.4,104.14,800.1,20.32,6.8,9.9,5,8.2
2010,6,4,177.8,58.42,800.1,0,7.6,11,5.5,7.6
2010,6,5,76.2,27.94,825.5,25.4,6.4,12.2,6.4,8.5
2010,6,6,0,0,825.5,0,7.5,12.1,4.9,9
2010,6,7,0,0,830.58,5.08,9.8,13.3,7.5,10.6
2010,6,8,0,0,838.2,7.62,8.8,13.1,7,9.9
2010,6,9,0,0,838.2,0,13,16.7,4.7,11.7
2010,6,10,0,0,840.74,2.54,6.7,13.9,6.7,10.2
2010,6,11,0,0,845.82,5.08,4.3,7.5,2.9,5
2010,6,12,0,0,845.82,0,7,11.6,2.7,7.6
2010,6,13,0,0,845.82,0,7,17.5,6.2,11.3
2010,6,14,0,0,845.82,0,9.7,16.8,6.1,11.8
2010,6,15,0,0,845.82,0,9.6,19,7.1,13.5
2010,6,16,0,0,845.82,0,8.5,13.8,7.4,10.3
2010,6,17,0,0,845.82,0,-0.6,8.5,-0.6,4.5
2010,6,18,0,0,848.36,2.54,4,8.4,-1.6,3.7
2010,6,19,0,0,848.36,0,10.9,16.7,2.1,10.4
2010,6,20,0,0,848.36,0,8.4,17.3,7.2,12.8
2010,6,21,0,0,848.36,0,4.2,11.2,2.6,7.8
2010,6,22,0,0,850.9,2.54,8.4,11.6,1.7,7.5
2010,6,23,0,0,850.9,0,8.9,15.7,4.2,10.3
2010,6,24,0,0,850.9,0,16.3,22.1,6.8,15.6
2010,6,25,0,0,850.9,0,11.4,21.7,11.4,16.8
2010,6,26,0,0,850.9,0,7.5,18,7.5,13.5
2010,6,27,0,0,850.9,0,12.9,18,7.2,13.9
2010,6,28,0,0,850.9,0,11.9,19.9,8,14.5
2010,6,29,0,0,850.9,0,16.7,26.2,10,18.8
2010,6,30,0,0,850.9,0,13.8,22.8,12.7,17.8
